사업자 등록번호,595-81-02960,상호,주식회사 뉴진사이언스(New Gene Science Inc.),대표자 명,김기환,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총 합계금액,"163,332,753",총 공급가액,"148,484,325",총 세액,"14,848,428",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매입 전자(수정) 세금계산서 목록조회,,,,,,,,,,,,,,,,,,,,,,,,대표 품목,,,,,,,,
작성일자,승인번호,발급일자,전송일자,공급자사업자등록번호,종사업장번호,상호,대표자명,주소,공급받는자사업자등록번호,종사업장번호,상호,대표자명,주소,합계금액,공급가액,세액,전자세금계산서분류,전자세금계산서종류,발급유형,비고,영수/청구 구분,공급자 이메일,공급받는자 이메일1,공급받는자 이메일2,품목일자,품목명,품목규격,품목수량,품목단가,품목공급가액,품목세액,품목비고
2026-07-27,20260727-41000007-18688278,2026-07-27,2026-07-28,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","122,760","111,600","11,160",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Gene Fragments with Adapters(300＜X≤3200) - Total 1ea,bp,930,120,"111,600","11,160",
2026-07-24,20260724-41000009-a000037q,2026-07-27,2026-07-28,160-86-00927,,(주)다윈바이오텍,김용문,"경기도 하남시 조정대로 150 (덕풍동, 아이테코) 607호",595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"2,850,000","2,590,909","259,091",세금계산서,일반,ASP발급,,청구,sj.yoo@dawinbiotech.com,jason.kim@newgenesci.com,,2026-07-24,[29721T] SPDEF (F9M9S) Rabbit Monoclonal Antibody 외,,,,"2,590,909","259,091",
2026-07-23,20260723-41000085-00000604,2026-07-24,2026-07-24,119-19-49901,,성진정보텍,김성훈,"경기도 광명시 소하로190, 광명G타워 B동 901호",595-81-02960,,주식회사뉴진사이언스,김기환,"경기도 광명시 소하로190,비동9층21호","15,730","14,300","1,430",세금계산서,일반,ASP발급,,영수,sj8947060@naver.com,,,2026-07-23,성진정보텍,EA,1,"14,300","14,300","1,430",
2026-07-23,20260723-10260723-17624000,2026-07-23,2026-07-23,275-88-02444,,"주식회사 지티과학(GTscience Co.,Ltd)",진평호,"경기도 하남시 미사대로 520, 씨에이동 8층 A031호(덕풍동, 현대지식산업센터 한강미사2차(25BL))",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","5,170,990","4,700,900","470,090",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-07-23,(Sigma) DUO92101 - Duolink® In Situ Red Starter Kit Mouse/Rabbit 외 2종,ea,1,"4,700,900","4,700,900","470,090",
2026-07-22,20260722-41000061-l6rcoror,2026-07-22,2026-07-22,120-87-47974,,코람바이오젠 (주),김수연,서울시 강남구 선릉로 76길 4 코람벤처타운 6층,595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로 190 광명 G 타워 B동 921호,"1,889,800","1,718,000","171,800",세금계산서,일반,ASP발급,,청구,,stella.yang@newgenesci.com,,2026-07-22,FEZF2 (Myc-DDK-tagged)-Human FEZ family zinc finger 2 (FEZF2) 외 1건,,0,0,"1,718,000","171,800",
2026-07-22,20260722-41000009-c0000295,2026-07-23,2026-07-24,213-86-04488,,(주)서린바이오사이언스,"황을문, 강미옥",경기 성남시 분당구 대왕판교로 700 (삼평동 코리아바이오파크A동4층),595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","330,000","300,000","30,000",세금계산서,일반,ASP발급,,청구,bill@seoulin.co.kr,newgenes@newgenesci.com,,2026-07-22,"MEM Alpha Modification, with L-Glutamine, with Ribo- and Deoxyribonucleosides",500 mL(2),6,"50,000","300,000","30,000",
2026-07-22,20260722-41000009-a00001qb,2026-07-22,2026-07-23,160-86-00927,,(주)다윈바이오텍,김용문,"경기도 하남시 조정대로 150 (덕풍동, 아이테코) 607호",595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"2,626,085","2,387,350","238,735",세금계산서,일반,ASP발급,,청구,sj.yoo@dawinbiotech.com,jason.kim@newgenesci.com,,2026-07-22,[ab218532] Recombinant Anti-GLP1R antibody [EPR21819]  외,,,,"2,387,350","238,735",
2026-07-21,20260721-10260721-15806633,2026-07-21,2026-07-21,275-88-02444,,"주식회사 지티과학(GTscience Co.,Ltd)",진평호,"경기도 하남시 미사대로 520, 씨에이동 8층 A031호(덕풍동, 현대지식산업센터 한강미사2차(25BL))",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","475,090","431,900","43,190",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-07-21,(Invitrogen) MA1-21315 - 6x-His Tag Monoclonal Antibody (HIS.H8) 외 1종,ea,1,"431,900","431,900","43,190",
2026-07-20,20260720-41000021-a0007726,2026-07-20,2026-07-20,118-82-70725,,광명g타워,최형석,경기 광명시 소하로 190지타워,595-81-02960,,주식회사 뉴진사이언스,김기환,경기 광명시 소하로 190 비동 9층 21호,"388,270","352,970","35,300",세금계산서,일반,ASP발급,2026년06월 관리비 B동921호,청구,kmtower@navet.com,newgenes@newgenesci.com,,2026-07-20,2026년06월분 관리비 외,,0,0,"352,970","35,300",
2026-07-16,20260716-10260720-14563841,2026-07-20,2026-07-20,386-81-00693,,주식회사 아이셀,이용철,"경기도 하남시 조정대로 150, 아이테코 755호",595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","254,100","231,000","23,100",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-07-16,Adenosine 5′-diphosphate sodium salt-20398-34-9,100G,1,"231,000","231,000","23,100",
2026-07-15,20260715-41000096-45187072,2026-07-15,2026-07-16,213-86-33907,,고마바이오텍(주),문상훈,"서울특별시 영등포구 양평로21길 26 1901호(양평동5가, 선유도역1차아이에스비즈타워)",595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190 (소하동, 광명G타워)","599,500","545,000","54,500",세금계산서,일반,ASP발급,,영수,komatax@bill36524.com,newgenes@newgenesci.com,,2026-07-15,ZNF312 (0.1 mL),NBP2-84354-0.1ml,1,"545,000","545,000","54,500",
2026-07-15,20260715-41000061-ngvqsb94,2026-07-15,2026-07-15,220-81-65848,,(주)이카운트,김신래,서울특별시 강동구 고덕비즈밸리로6길 84 (고덕동) 이카운트,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호","44,000","40,000","4,000",세금계산서,일반,ASP발급,,청구,csmail@ecounterp.com,NEWGENES@NEWGENESCI.COM,,2026-07-15,2026년 07월 사용료,,0,0,"40,000","4,000",
2026-07-15,20260715-41000009-a00002ip,2026-07-16,2026-07-17,160-86-00927,,(주)다윈바이오텍,김용문,"경기도 하남시 조정대로 150 (덕풍동, 아이테코) 607호",595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"4,478,870","4,071,700","407,170",수정세금계산서,일반(수정),ASP발급,,청구,sj.yoo@dawinbiotech.com,jason.kim@newgenesci.com,,2026-07-15,[C34565] CellTracker™ Deep Red Dye 외,,,,"4,071,700","407,170",
2026-07-15,20260715-41000009-a00002io,2026-07-16,2026-07-17,160-86-00927,,(주)다윈바이오텍,김용문,"경기도 하남시 조정대로 150 (덕풍동, 아이테코) 607호",595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"-4,406,765","-4,006,150","-400,615",수정세금계산서,일반(수정),ASP발급,,청구,sj.yoo@dawinbiotech.com,jason.kim@newgenesci.com,,2026-07-15,[C34565] CellTracker™ Deep Red Dye 외,,,,"-4,006,150","-400,615",
2026-07-15,20260715-41000009-a00000jg,2026-07-15,2026-07-16,160-86-00927,,(주)다윈바이오텍,김용문,"경기도 하남시 조정대로 150 (덕풍동, 아이테코) 607호",595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"4,406,765","4,006,150","400,615",세금계산서,일반,ASP발급,,청구,sj.yoo@dawinbiotech.com,jason.kim@newgenesci.com,,2026-07-15,[C34565] CellTracker™ Deep Red Dye 외,,,,"4,006,150","400,615",
2026-07-14,20260714-41000096-45064194,2026-07-14,2026-07-15,101-86-83628,,(주)환경테크,박기석,"서울특별시 종로구  돈화문로 4-2 (장사동, 경서빌딩)208,301호",595-81-02960,,(주)뉴진사이언스,김기환,"경기 광명시 소하로 190 (소하동, 광명G타워) b동 921호","67,350","61,228","6,122",세금계산서,일반,ASP발급,,청구,hktechcom@bill36524.com,newgenes@newgenesci.com,,2026-07-14,염색밧드 HCI-0410-0004,,5,"11,700","58,500","5,850","301p,560p"
2026-07-14,20260714-41000061-5pkkomc6,2026-07-22,2026-07-22,101-81-35795,,주식회사 현일랩메이트,HYUN DONG HO(현동호),"서울 마포구 성미산로 89, 2층",595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"30,800","28,000","2,800",세금계산서,일반,ASP발급,,영수,tax@hyunil-lab.com,newgenes@newgenesci.com,,2026-07-14,Slide PP Tray (H) 외 2건,,0,0,"28,000","2,800",
2026-07-14,20260714-41000011-11073801,2026-07-15,2026-07-15,209-81-55886,,(주)싸이랩코리아,이충형,"서울시 성북구 화랑로18길 25-38, 싸이랩빌딩 3층 ",595-81-02960,,(주)뉴진사이언스,김기환,"경기 광명시 소하로 190,B동921호 ","74,800","68,000","6,800",세금계산서,일반,ASP발급,,청구,kyoung@scilab.kr,newgenes@newgenesci.com,,2026-07-14,"Staining Rack, SUS, 20Holes",,,,"68,000","6,800",
2026-07-14,20260714-41000011-11071838,2026-07-15,2026-07-15,101-81-25905,,(주)대한과학,서현정,강원특별자치도 원주시 지정면 신평석화로 326 ,595-81-02960,,(주)뉴진사이언스,김기환,"경기 광명시 소하로 190,B동921호 ","4,000","3,637",363,세금계산서,일반,ASP발급,,청구,jy0722@daihansci.co.kr,newgenes@newgenesci.com,,2026-07-14,택배비,,,,"3,637",363,
2026-07-14,20260714-41000011-11055495,2026-07-14,2026-07-14,101-81-25905,,(주)대한과학,서현정,강원특별자치도 원주시 지정면 신평석화로 326 ,595-81-02960,,(주)뉴진사이언스,김기환,"경기 광명시 소하로 190,B동921호 ","30,756","27,960","2,796",세금계산서,일반,ASP발급,,청구,jy0722@daihansci.co.kr,newgenes@newgenesci.com,,2026-07-14,"Cover Glass, 24 x 40 mm, Thick. 0.13~0.17mm",,,,"27,960","2,796",
2026-07-14,20260714-41000007-18530093,2026-07-14,2026-07-15,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","194,568","176,880","17,688",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Gene Fragments without Adapters(300＜X≤3200)- Total 2ea,bp,"1,474",120,"176,880","17,688",
2026-07-14,20260714-10260714-12161638,2026-07-14,2026-07-14,763-86-01332,,주식회사 비전랩사이언스,정혜영,"인천광역시 남동구 선수촌공원로17번길 1, A동 707호(구월동, 구월테크노밸리)",595-81-02960,,(주)뉴진사이언스,김기환,"경기 광명시 소하로 190 (소하동, 광명G타워) b동 921호","72,600","66,000","6,600",세금계산서,일반,인터넷발급,,청구,vls0711@hanmail.net,hugyoung@newgenesci.com,,2026-07-14,리키드블록커 ,,1,"66,000","66,000","6,600",
2026-07-13,20260713-10260713-11712635,2026-07-13,2026-07-13,489-57-00532,,비에스테크광명,이재호 외 1 명,"경기도 광명시 소하로 190, B동 920,921호(소하동, 광명G타워)",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190(소하동, 광명G타워)비동9층21호","1,100,000","1,000,000","100,000",세금계산서,일반,인터넷발급,,청구,gateman4@daum.net,newgenes@newgenesci.com,,2026-07-13,사무실 임대료,,,,"1,000,000","100,000",
2026-07-11,20260711-41000096-45006529,2026-07-14,2026-07-15,213-86-33907,,고마바이오텍(주),문상훈,"서울특별시 영등포구 양평로21길 26 1901호(양평동5가, 선유도역1차아이에스비즈타워)",595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190 (소하동, 광명G타워)","372,900","339,000","33,900",세금계산서,일반,ASP발급,,영수,komatax@bill36524.com,newgenes@newgenesci.com,,2026-07-11,ELISA Starter Kit (BSA),K0331002,1,"339,000","339,000","33,900",
2026-07-10,20260710-41000061-lp8fspqk,2026-07-13,2026-07-13,215-86-24821,,(주)다윈바이오,유선하,경기도 하남시 조정대로150 아이테코 블루존 601호,595-81-02960,,주식회사 뉴진사이언스 (New Gene Science Inc.),김기환,"경기도 광명시 소하로 190, 비동 9층 21호 (소하동, 광명G타워)","589,600","536,000","53,600",세금계산서,일반,ASP발급,,청구,jinlim@dawinbio.com,newgenes@newgenesci.com,,2026-07-10,·♥[ab205606] Anti-DDDDK tag (Binds to FLAG® tag sequence) antibody [EPR20018-251] 외 1건,,0,0,"536,000","53,600",
2026-07-09,20260709-41000061-rdbs11kl,2026-07-09,2026-07-09,214-86-56373,,기산바이오(주),선지운,서울시 서초구 양재천로31길 11,595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","101,970","92,700","9,270",세금계산서,일반,ASP발급,,영수,kisan@kisanbio.com,newgenes@newgenesci.com,,2026-07-09,EC (Escherichia coli) Broth,500g,1,"88,200","88,200","8,820",
2026-07-09,20260709-41000061-mdrfshlv,2026-07-10,2026-07-10,160-86-00927,,(주)다윈바이오텍,김용문,경기도 하남시 조정대로 150 (덕풍동) 아이테코 블루존 607호,595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호","532,400","484,000","48,400",세금계산서,일반,ASP발급,,청구,admin@dawinbiotech.com,newgenes@newgenesci.com,,2026-07-09,♥[12362] EndoFree Plasmid Maxi Kit (10),10/kit,1,"484,000","484,000","48,400",
2026-07-09,20260709-41000008-fby84fpd,2026-07-09,2026-07-10,130-81-49813,,청호나이스(주),지기원,충북 진천군 이월면 진광로 486,595-81-02960,,(주)뉴진사이언스,김기환,"경기 광명시 소하로 190 B동 9층 21호 (소하동, 광명G타워)","45,900","41,727","4,173",세금계산서,일반,ASP발급,국민은행 804010484951 /  당월 내 미납시 가산금이 부과됩니다. 계약:13-0230049-24-00282,청구,10258006@chungho.co.kr,newgenes@newgenesci.com,,2026-07-09,렌탈료,,1,0,"41,727","4,173",
2026-07-09,20260709-41000007-18451803,2026-07-09,2026-07-10,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","2,055,081","1,868,256","186,825",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,2026-07-09,Clonal Genes (300＜X≤1800) - Total 9ea,bp,"11,256",126,"1,418,256","141,825",Q-678831
2026-07-09,20260709-10260710-98877659,2026-07-10,2026-07-10,386-81-00693,,주식회사 아이셀,이용철,"경기도 하남시 조정대로 150, 아이테코 755호",595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","82,500","75,000","7,500",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-07-09,Sodium hydrosulfite ≥82％ (RT)-7775-14-6,50G,1,"75,000","75,000","7,500",
2026-07-09,20260709-10260709-97067475,2026-07-09,2026-07-09,289-37-01291,,백스바이오테크,정승혜,"경기도 고양시 덕양구 호국로742번길 38, 608동 1102호(성사동, 신원당마을)",595-81-02960,,주식회사뉴진사이언스,김기환,"경기도 광명시 소하로190,비동9층21호(소하동 광명G타워)","4,730,000","4,300,000","430,000",세금계산서,일반,인터넷발급,,청구,pukpuke@naver.com,newgenes@newgenesci.com,,2026-07-09," FMDV O-type M3-HRP Nanobody		",,2,"1,100,000","2,200,000","220,000",
2026-07-09,20260709-10260709-96801969,2026-07-09,2026-07-09,275-88-02444,,"주식회사 지티과학(GTscience Co.,Ltd)",진평호,"경기도 하남시 미사대로 520, 씨에이동 8층 A031호(덕풍동, 현대지식산업센터 한강미사2차(25BL))",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","635,360","577,600","57,760",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-07-09,(Thermo) L3000008 - Lipofectamine™ 3000 Transfection Reagent,0.75ml,1,"577,600","577,600","57,760",
2026-07-08,20260708-10260708-96228147,2026-07-08,2026-07-08,305-23-86367,,지나인쇄,박진완,"경기도 수원시 팔달구 효원로 278, 430호(인계동)",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","39,600","36,000","3,600",세금계산서,일반,인터넷발급,,청구,cracy20@daum.net,newgenes@newgenesci.com,,2026-07-08,인쇄,200,2,"18,000","36,000","3,600",
2026-07-06,20260706-50000002-a3198894,2026-07-28,2026-07-28,102-81-42945,,주식회사 케이티,박윤영,경기도 성남시 분당구 불정로 90,595-81-02960,,주식회사뉴진사이언스,김기환,"경기 광명시 소하로 190 B동 921호 (소하동, 광명G타워)","43,804","39,822","3,982",세금계산서,일반,겸용서식발급,"84 KOS, 명세서번호(청구계약ID) : 76037059276, 매출기관(사업장) : P555221",청구,,,,,인터넷 베이직 (z!68194598000),,1,"39,822","39,822","3,982",
2026-07-06,20260706-41000061-mjb3w1eu,2026-07-07,2026-07-07,109-81-66026,,바이오클론,임재근,서울특별시 강서구 가양동 449-4  한화비즈메트로1차  903호 바이오클론(주),595-81-02960,,뉴진사이언스(New Gene Science),김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","878,900","799,000","79,900",세금계산서,일반,ASP발급,,청구,bioclone@bioclone.co.kr,jason.kim@newgenesci.com,,2026-07-06,MCE#HY-105088 외 1건,,0,0,"799,000","79,900",
2026-07-02,20260702-41000061-694n8m9q,2026-07-02,2026-07-02,763-81-00487,,(주)엘피에스솔루션,김천기,대전광역시 대덕구 덕암로148번길29 (상서동),595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"2,640,000","2,400,000","240,000",세금계산서,일반,ASP발급,,청구,lpss56789@naver.com,newgenes@newgenesci.com,,2026-07-02,"EXCELL LS Refill Tip, 1250ul, Nature, Sterile (10PK/CS)",768 Tips/Pack (LPS),100,"24,000","2,400,000","240,000",
2026-07-02,20260702-41000007-18272128,2026-07-02,2026-07-03,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","3,353,302","3,048,456","304,846",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Clonal Genes (300＜X≤1800) - Total 12ea,bp,"16,956",126,"2,136,456","213,646",
2026-07-02,20260702-10260703-87826091,2026-07-03,2026-07-03,386-81-00693,,주식회사 아이셀,이용철,"경기도 하남시 조정대로 150, 아이테코 755호",595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","211,200","192,000","19,200",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-07-02,Digitonin-11024-24-1,100MG,1,"188,000","188,000","18,800",
2026-07-02,20260702-10260702-87469903,2026-07-02,2026-07-02,204-16-78019,,아벨바이오,최일범,"서울특별시 중랑구 면목로 205, 2층(면목동)",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하 동,광명G타워)","126,500","115,000","11,500",세금계산서,일반,인터넷발급,,청구,abelbio2012@gmail.com,newgenes@newgenesci.com,,2026-07-02,50015(BX); RT; Conic...외,,,,"115,000","11,500",
2026-06-30,20260630-41000061-sfc7vubc,2026-07-10,2026-07-10,763-81-00487,,(주)엘피에스솔루션,김천기,대전광역시 대덕구 덕암로148번길29 (상서동),595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"11,033,000","10,030,000","1,003,000",세금계산서,일반,ASP발급,,청구,lpss56789@naver.com,newgenes@newgenesci.com,,2026-06-30,"EXCELL LS Refill Tip, 1250ul, Nature, Sterile (10PK/CS) 외 7건",,0,0,"10,030,000","1,003,000",
